"Original Url","Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Title 2","Title 2 Length","Title 2 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Description 2","Meta Description 2 Length","Meta Description 2 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H1-2","H1-2 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","Meta Robots 2","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","Canonical Link Element 2","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","HTTP Version","URL Encoded Address","Crawl Timestamp"
"https://www.marshalls.com/us/m/shop/shoes-shoes-men-s-shoes/_/N-3716159530","https://www.marshalls.com/us/m/shop/shoes-shoes-men-s-shoes/_/N-3716159530","","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","0","0","0","","","","","0.000","0","5","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.907","","https://m.marshalls.com/us/m/shop/shoes-shoes-men-s-shoes/_/N-3716159530","HTTP Redirect","","1.1","https://www.marshalls.com/us/m/shop/shoes-shoes-men-s-shoes/_/N-3716159530","2024-11-30 15:01:43"
"https://www.ugg.com/men/","https://www.ugg.com/men/","text/plain; charset=utf-8","406","Not Acceptable","Non-Indexable","Client Error","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","20","20","0","","","","","0.000","0","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.706","","","","","1.1","https://www.ugg.com/men/","2024-11-30 15:01:30"
"https://bahe.co/collections/recharge-mens-daily-runner","https://bahe.co/collections/recharge-mens-daily-runner","text/html; charset=utf-8","200","OK","Indexable","","Recharge - Men's Regular Fit Grounded Running Shoe Range
 – Bahé","64","599","","0","0","A cushioned and versatile daily running shoe, ready for every run","65","398","","0","0","","0","Recharge - Men's Regular Fit Grounded Running Shoe Range","56","","0","Rediscover - Men's Barefoot-style Grounded Hiking Boot","54","Revive - Men's Barefoot-style Grounded Running Shoe","51","","","","","https://bahe.co/collections/recharge-mens-daily-runner","","","","","","","235093","44104","575","323","1.780","67.314","Normal","2.148","0","1","","4","1","0","1.320","95","50","0","4","4","0","","","","","e3fa18f0bf0e69654bcb9ef33b30e605","0.825","","","","","1.1","https://bahe.co/collections/recharge-mens-daily-runner","2024-11-30 15:01:33"
"https://www.macys.com/shop/mens-clothing/shop-all-mens-shoes?id=55822","https://www.macys.com/shop/mens-clothing/shop-all-mens-shoes?id=55822","","302","Moved Temporarily","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","0","0","0","","","","","0.000","0","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","1.550","","https://www.macys.com/shop/mens-clothing/shop-all-mens-shoes?id=55822","HTTP Redirect","","1.1","https://www.macys.com/shop/mens-clothing/shop-all-mens-shoes?id=55822","2024-11-30 15:01:35"
"https://www.asics.com/us/en-us/mens-shoes/c/aa10200000/","https://www.asics.com/us/en-us/mens-shoes/c/aa10200000/","text/html;charset=UTF-8","200","OK","Indexable","","Men's Shoes | ASICS","19","183","","0","0","Official Site: Shop Men's Shoes from ASICS®. FREE RETURNS AND STANDARD SHIPPING on orders over $50 for OneASICS™ Members.","121","838","","0","0","ASICS","5","Men's Shoes","11","","0","Get the latest news from ASICS","30","","0","","","","","https://www.asics.com/us/en-us/mens-shoes/c/aa10200000/","","https://www.asics.com/us/en-us/mens-shoes/c/aa10200000/?start=24&sz=24","","","","","1070731","90803","2423","923","2.625","91.045","Very Easy","1.720","0","5","","251","1","0","1.320","639","292","0","7","6","0","","","","","9cb0e0330bb5a03b220df5d854c24525","1.798","","","","","1.1","https://www.asics.com/us/en-us/mens-shoes/c/aa10200000/","2024-11-30 15:01:46"
"https://www.newbalance.com/men/shoes/all-shoes/","https://www.newbalance.com/men/shoes/all-shoes/","text/html","403","Forbidden","Non-Indexable","Client Error","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","633","633","0","","","","","0.000","0","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.987","","","","","1.1","https://www.newbalance.com/men/shoes/all-shoes/","2024-11-30 15:01:43"
"https://www.birkenstock.com/us/men/shoes/","https://www.birkenstock.com/us/men/shoes/","text/html;charset=UTF-8","200","OK","Indexable","","Comfortable men's shoes | buy online at BIRKENSTOCK","51","489","","0","0","BIRKENSTOCK comfortable shoes for men in all colors and sizes ✓Buy directly from the manufacturer online✓ all fashion trends from Birkenstock","141","892","","0","0","","0","MEN'S SHOES","11","","0","Comfortable shoes for men","25","BIRKENSTOCK NEWSLETTER","22","index, follow","","","","https://www.birkenstock.com/us/men/shoes/","","","","","","","567131","71678","1644","474","3.468","100.000","Very Easy","2.231","0","3","","7","1","0","1.320","394","262","0","14","8","0","","","","","28a40510726d1c958d6c271e22f71c4","1.381","","","","","1.1","https://www.birkenstock.com/us/men/shoes/","2024-11-30 15:01:44"
"https://www.johnstonmurphy.com/c/men/mens-shoes","https://www.johnstonmurphy.com/c/men/mens-shoes","text/html;charset=UTF-8","200","OK","Indexable","","Men's Shoes | Johnston & Murphy","31","301","","0","0","Shop Johnston & Murphy for a wide selection of shoes for any occasion.","70","449","","0","0","Johnston & Murphy","17","","0","","0","","0","","0","","","","","","","","","","","","364559","40994","794","302","2.629","100.000","Very Easy","2.833","0","2","","23","2","0","2.630","358","146","0","20","9","0","","","","","1b38483dc0299cf3b9d94bb8cdadbb7","0.948","","","","","1.1","https://www.johnstonmurphy.com/c/men/mens-shoes","2024-11-30 15:01:25"
"https://www.brunomarc.com/collections/mens-shoes","https://www.brunomarc.com/collections/mens-shoes","text/html; charset=UTF-8","200","OK","Indexable","","Men's Shoes | Oxfords, Sneakers & Boots-Bruno Marc","50","470","","0","0","Shop the huge selection of men's shoes from Bruno Marc store including men’s boots, oxfords shoes, sneakers, casual shoes and more.","131","843","","0","0","","0","Men's Shoes","11","","0","CATEGORY","8","COLORS","6","","","","","https://www.brunomarc.com/collections/mens-shoes","","","","","","","874764","60111","2128","580","3.669","93.147","Very Easy","2.110","0","1","","3","1","0","1.320","303","144","0","5","5","0","","","","","20026c1cb608e56328420e8f10c6caff","2.062","Sat, 30 Nov 2024 10:01:27 GMT","","","","1.1","https://www.brunomarc.com/collections/mens-shoes","2024-11-30 15:01:27"
"https://thursdayboots.com/collections/mens-shoes","https://thursdayboots.com/collections/mens-shoes","text/html; charset=utf-8","200","OK","Indexable","","Men’s Shoes - Casual Shoes & Dress Shoes | Thursday","51","478","","0","0","Shop Comfortable, Durable, and Versatile Men's Shoes at Thursday. Handcrafted Leather Sneakers, Dress Shoes, and More Available Now, All Made With the Highest Quality Materials. Shop Now For Free Shipping & Returns!","215","1374","","0","0","","0","","0","","0","Your Cart","9","Thursday Boot Company","21","","","","","https://thursdayboots.com/collections/mens-shoes","","","","","","","595889","88496","157","55","2.855","53.059","Fairly Hard","0.846","0","1","","5","1","0","1.320","40","27","0","5","5","0","","","","","c5382f93575a654bf2acb7a5196e07d8","1.059","","","","","1.1","https://thursdayboots.com/collections/mens-shoes","2024-11-30 15:01:33"
"https://www.saguaro.com/collections/all-men-shoes","https://www.saguaro.com/collections/all-men-shoes","text/html; charset=utf-8","200","OK","Indexable","","Saguaro® Men's Barefoot Shoes: Versatile Comfort for Every Adventure  – Saguaro Barefoot Shoes","94","870","","0","0","From training to business casual, watersports, or mountain climbing, Saguaro® Men's Barefoot Shoes are your ultimate companion. With a wide toe box, lightweight feel, flat, thin soles, and ultimate flexibility, experience the freedom of nature on every adventure. Step into sustainable comfort with our globally available footwear.","331","2023","","0","0","","0","Men's Shoes","11","","0","Refined by Clear all","20","Color","5","","","","","https://www.saguaro.com/collections/all-men-shoes","","https://www.saguaro.com/collections/all-men-shoes?page=2","","","","","3717784","320532","3508","1613","2.175","100.000","Very Easy","1.606","0","1","","86","1","0","1.320","323","86","0","8","6","0","","","","","8308091a764ece6ba530f1763c3dd854","0.864","","","","","1.1","https://www.saguaro.com/collections/all-men-shoes","2024-11-30 15:01:23"
"https://www.walmart.com/browse/clothing/mens-shoes/5438_1045804_1045807_426207","https://www.walmart.com/browse/clothing/mens-shoes/5438_1045804_1045807_426207","text/plain; charset=utf-8","307","Temporary Redirect","Non-Indexable","Redirected","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","21","21","0","","","","","0.000","0","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","1.004","","https://www.walmart.com/blocked?url=L2Jyb3dzZS9jbG90aGluZy9tZW5zLXNob2VzLzU0MzhfMTA0NTgwNF8xMDQ1ODA3XzQyNjIwNw==&uuid=1c3574f3-af02-11ef-9ed2-d9d3a05c53c2&vid=&g=b","HTTP Redirect","","1.1","https://www.walmart.com/browse/clothing/mens-shoes/5438_1045804_1045807_426207","2024-11-30 15:01:47"
"https://www.rainbowsandals.com/mens/shoes","https://www.rainbowsandals.com/mens/shoes","text/html; charset=utf-8","200","OK","Indexable","","Men's Shoes - Rainbow Sandals","29","279","","0","0","Discover our shoes for men from Rainbow Sandals. Our high quality shoes are designed for comfort and sit on a single layer arch just like our sandals.","150","927","","0","0","","0","","0","","0","","0","","0","","","","","https://www.rainbowsandals.com/mens/shoes","","","","","","","82178","15837","458","180","2.544","78.830","Fairly Easy","3.755","0","1","","1","1","0","1.320","129","77","0","4","4","0","","","","","649a5cc589d1ca7548c6929176130b4","1.498","","","","","1.1","https://www.rainbowsandals.com/mens/shoes","2024-11-30 15:01:21"
"https://www.roadrunnersports.com/category/mens/shoes","https://www.roadrunnersports.com/category/mens/shoes","text/html; charset=utf-8","200","OK","Indexable","","Men's Athletic Shoes - Road Runner Sports","41","377","","0","0","Shop the wide selection of men's athletic shoes today at Road Runner Sports. VIP members get a 90 day trial, exclusive savings & free shipping.","143","887","","0","0","","0","men's shoes (864 ITEMS)","23","","0","USA Sizes","9","EURO Sizes","10","index, follow","","","","https://www.roadrunnersports.com/category/mens/shoes","","https://www.roadrunnersports.com/category/mens/shoes&page=2","","","","","518757","62958","1163","331","3.514","100.000","Very Easy","1.885","0","2","","5","1","0","1.320","503","228","0","14","10","0","","","","","1e06f29a536cc2840c1f925b402456d1","3.090","","","","","1.1","https://www.roadrunnersports.com/category/mens/shoes","2024-11-30 15:01:16"
"https://eastlandshoe.com/pages/mens-shoes","https://eastlandshoe.com/pages/mens-shoes","text/html; charset=utf-8","200","OK","Indexable","","Men's Shoes
 – Eastland","23","212","","0","0","","0","0","","0","0","","0","Eastland","8","","0","Not a member?","13","Need Help?","10","","","","","https://eastlandshoe.com/pages/mens-shoes","","","","","","","1129918","108132","895","209","4.282","80.646","Easy","0.531","0","1","","15","1","0","1.320","71","37","0","4","4","0","","","","","60a8adc71f359e6bd74d0bea042cbb95","1.239","","","","","1.1","https://eastlandshoe.com/pages/mens-shoes","2024-11-30 15:01:36"
"https://www.kennethcole.com/collections/men-shoes","https://www.kennethcole.com/collections/men-shoes","text/html; charset=utf-8","200","OK","Indexable","","Men's Shoes | Kenneth Cole","26","246","","0","0","Browse men's shoes for this season's sneakers, oxfords, loafers, sandals, and boots. Shop online for effortless shopping, fast delivery, and easy returns.","154","940","","0","0","","0","Men Shoes - View All","20","","0","","0","","0","","","","","https://www.kennethcole.com/collections/men-shoes","","https://www.kennethcole.com/collections/men-shoes?page=2","","","","","2159266","170992","1297","801","1.619","97.305","Very Easy","0.829","0","1","","39","1","0","1.320","1170","183","0","8","6","0","","","","","9403734a4f293b1e67a6116a51a32633","1.016","","","","","1.1","https://www.kennethcole.com/collections/men-shoes","2024-11-30 15:01:30"
"https://us.dockers.com/collections/mens-shoes","https://us.dockers.com/collections/mens-shoes","text/html; charset=utf-8","200","OK","Indexable","","Men's Shoes: Boots, Slippers, & Sneakers | Dockers® US","54","494","","0","0","Between slippers, chelsea boots, oxfords, moccasins, and sandals, find a comfortable pair of men's shoes for any occasion at Dockers®.","134","844","","0","0","","0","Men's Casual Shoes, Dress Shoes & More","38","Men's Shoes","11","","0","","0","","","","","https://us.dockers.com/collections/mens-shoes","","https://us.dockers.com/collections/mens-shoes?page=2","","","","","556437","69980","1660","536","3.097","90.807","Very Easy","2.610","0","1","","3","1","0","1.320","330","133","0","19","12","0","","","","","b986d564e9d2c58cf06c773b6aebf213","0.345","","","","","1.1","https://us.dockers.com/collections/mens-shoes","2024-11-30 15:01:12"
"https://bananarepublic.gap.com/browse/men/shoes?cid=1032801","https://bananarepublic.gap.com/browse/men/shoes?cid=1032801","text/html; charset=utf-8","200","OK","Indexable","","Men's Shoes - Shop All | Banana Republic","40","363","","0","0","Exhibit urbane sophistication wearing sleek men's dress shoes, boots, & loafers from Banana Republic. Shop all shoe styles for men for every fit and occasion.","158","977","","0","0","","0","Shoes","5","","0","Related Items","13","","0","","","","","https://bananarepublic.gap.com/browse/men/shoes?cid=1032801","","","","","","","643168","104688","140","27","5.185","94.009","Very Easy","0.111","0","2","","8","1","0","1.320","33","26","0","2","2","0","","","","","5b3d8e8b5d596aa27a574ec3857d6f85","2.413","","","","","1.1","https://bananarepublic.gap.com/browse/men/shoes?cid=1032801","2024-11-30 15:01:33"
"https://www.dickssportinggoods.com/f/on-cloud-mens-shoes","https://www.dickssportinggoods.com/f/on-cloud-mens-shoes","text/html","418","I'm a teapot","Non-Indexable","Client Error","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","1337","1337","0","","","","","0.000","0","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","2.467","","","","","1.1","https://www.dickssportinggoods.com/f/on-cloud-mens-shoes","2024-11-30 15:01:14"
"https://www.footlocker.com/category/mens/shoes.html","https://www.footlocker.com/category/mens/shoes.html","text/html;charset=utf-8","403","Forbidden","Non-Indexable","Client Error","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","927","927","0","","","","","0.000","0","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.441","","","","","1.1","https://www.footlocker.com/category/mens/shoes.html","2024-11-30 15:01:15"
"https://www.nnormal.com/en_US/men/shoes","https://www.nnormal.com/en_US/men/shoes","text/html","403","Forbidden","Non-Indexable","Client Error","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","162","162","0","","","","","0.000","0","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.778","","","","","1.1","https://www.nnormal.com/en_US/men/shoes","2024-11-30 15:01:35"
"https://www.cabelas.com/b/mens-shoes-boots","https://www.cabelas.com/b/mens-shoes-boots","text/html;charset=UTF-8","403","Forbidden","Non-Indexable","Client Error","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","632","632","0","","","","","0.000","0","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.867","","","","","1.1","https://www.cabelas.com/b/mens-shoes-boots","2024-11-30 15:01:38"
"https://www.asos.com/us/men/shoes-boots-sneakers/cat/?cid=4209","https://www.asos.com/us/men/shoes-boots-sneakers/cat/?cid=4209","text/html; charset=utf-8","200","OK","Indexable","","Shop Men's Shoes & Footwear Online Here | ASOS","46","443","","0","0","Discover men's shoes online at ASOS. Our range of men's footwear includes trendy loafers, casual sneakers, designer picks & smart styles. Order today.","150","937","","0","0","","0","Men's Shoes & Footwear","22","","0","Browse by","9","Shop by price","13","","","","","https://www.asos.com/us/men/shoes-boots-sneakers/cat/?cid=4209","","https://www.asos.com/us/men/shoes-boots-sneakers/cat/?cid=4209&page=2","","","","","549351","71273","1315","418","3.146","100.000","Very Easy","3.276","0","4","","2","1","0","1.320","706","630","0","5","5","0","","","","","a2ae44335ea5dcd0be5a7068e5996030","2.257","","","","","1.1","https://www.asos.com/us/men/shoes-boots-sneakers/cat/?cid=4209","2024-11-30 15:01:36"
"https://www.giuseppezanotti.com/us/man/sneakers","https://www.giuseppezanotti.com/us/man/sneakers","text/html","403","Forbidden","Non-Indexable","Client Error","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","919","919","0","","","","","0.000","0","2","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.373","","","","","1.1","https://www.giuseppezanotti.com/us/man/sneakers","2024-11-30 15:01:39"
"https://www.dickssportinggoods.com/c/mens-footwear","https://www.dickssportinggoods.com/c/mens-footwear","text/html","418","I'm a teapot","Non-Indexable","Client Error","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","1337","1337","0","","","","","0.000","0","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","1.565","","","","","1.1","https://www.dickssportinggoods.com/c/mens-footwear","2024-11-30 15:01:39"
"https://www.moncler.com/en-us/men/shoes","https://www.moncler.com/en-us/men/shoes","text/html;charset=UTF-8","200","OK","Indexable","","Moncler Online Shop","19","185","","0","0","Moncler Online Store","20","129","","0","0","Moncler Online Store","20","","0","","0","Latest","6","Gifts","5","","","","","https://www.moncler.com/en-us/men/shoes","","","","","","","132588","19771","88","12","7.333","84.028","Easy","3.952","0","2","","20","1","0","1.320","260","165","0","0","0","0","","","","","b0a0f2f1ff1122b489f2204aedc68835","1.859","","","","","1.1","https://www.moncler.com/en-us/men/shoes","2024-11-30 15:01:17"
"https://www.bergdorfgoodman.com/c/men-shoes-cat501911","https://www.bergdorfgoodman.com/c/men-shoes-cat501911","text/html; charset=utf-8","200","OK","Indexable","","Designer Shoes for Men | Bergdorf Goodman","41","395","","0","0","Shop men’s shoes at Bergdorf Goodman. Step into something new with these glamorous sneakers, sandals, and boots.","112","738","Shop men&rsquo;s shoes at Bergdorf Goodman. Step into something new with these glamorous sneakers, sandals, and boots.","118","738","","0","Shoes","5","","0","Stuart Weitzman","15","Men's Adam Leather and Neoprene Combat Boots","44","max-image-preview:large","","","","https://www.bergdorfgoodman.com/c/men-shoes-cat501911","","https://www.bergdorfgoodman.com/c/men-shoes-cat501911?page=2","","","","","760747","93070","1690","547","3.090","77.400","Fairly Easy","2.057","0","1","","1","1","0","1.320","676","541","0","13","9","0","","","","","df4054e5b09af11ffca9a90e35e00683","2.951","","","","","1.1","https://www.bergdorfgoodman.com/c/men-shoes-cat501911","2024-11-30 15:01:31"
"https://www.shoecarnival.com/mens","https://www.shoecarnival.com/mens","text/html; charset=utf-8","200","OK","Indexable","","Men's Shoes | Shop Sneakers & Boots | Shoe Carnival","51","469","","0","0","Shop Shoe Carnival's expansive collection of men's shoes, boots, and footwear from your favorite brands. Browse our men's shoe selection today!","143","901","","0","0","","0","Men's Shoes & Boots","19","","0","Shop Men's Shoes & Boots","24","Best Types of Men’s Shoes","25","","","","","https://www.shoecarnival.com/mens","","","","","","","1022564","137324","959","331","2.897","96.887","Very Easy","0.641","0","0","","5","1","0","1.320","121","71","0","1","1","0","","","","","fb57c9f6fe8230a415724471d35403c8","3.260","","","","","1.1","https://www.shoecarnival.com/mens","2024-11-30 15:01:21"
"https://xeroshoes.com/shop/product-category/gender/mens/","https://xeroshoes.com/shop/product-category/gender/mens/","text/html; charset=UTF-8","200","OK","Indexable","","Barefoot Shoes for Men - Xero Shoes","35","326","","0","0","Shop men's barefoot shoes for casual and performance footwear. Embrace the joy of natural movement and all-day comfort with a 5,000-mile sole warranty.","151","963","","0","0","","0","Men's Shoes","11","","0","Take the Shoe Finder Quiz and find the Xero Shoes for you","57","Join the Xero Circle","20","index, follow, max-image-preview:large, max-snippet:-1, max-video-preview:-1","","","","https://xeroshoes.com/shop/product-category/gender/mens/","","https://xeroshoes.com/shop/product-category/gender/mens/page/2/","","","","","4985442","160473","2948","927","3.180","100.000","Very Easy","0.396","0","4","","23","1","0","1.320","199","99","0","15","9","0","","","","","de930cdc77cb0b52ffe770a6894c4f67","0.777","Wed, 27 Nov 2024 21:05:00 GMT","","","","1.1","https://xeroshoes.com/shop/product-category/gender/mens/","2024-11-30 15:01:43"
"https://www.on.com/en-us/shop/classics/mens/shoes","https://www.on.com/en-us/shop/classics/mens/shoes","text/html;charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","","","","96904","17588","0","","","","","0.000","0","4","","0","0","0","0.000","0","0","0","0","0","0","","","","","2687e68ee9ccebddde725ae67ad782f5","0.705","","","","","1.1","https://www.on.com/en-us/shop/classics/mens/shoes","2024-11-30 15:01:41"
"https://sebago-usa.com/collections/all-mens-shoes","https://sebago-usa.com/collections/all-mens-shoes","text/html; charset=utf-8","200","OK","Indexable","","All Men's Shoes
– Sebago-USA","28","273","","0","0","Tradition matters in Maine. Our passion for tradition and quality is in everything we do and runs to the core of the Sebago story—it’s why Sebago’s style is timeless. For over 75 years Sebago has been outfitting men in quality footwear and apparel to ensure they’re ready for anything—dockside, campside, cityside, or an","320","1959","","0","0","","0","All Men's Shoes","15","","0","All Men's Shoes","15","Currency","8","","","","","https://sebago-usa.com/collections/all-mens-shoes","","https://sebago-usa.com/collections/all-mens-shoes?page=2","","","","","962835","111574","1417","833","1.701","100.000","Very Easy","0.972","0","1","","13","1","0","1.320","362","297","0","7","4","0","","","","","2f5c01311277a51de08eb12ce7d79c2c","0.699","","","","","1.1","https://sebago-usa.com/collections/all-mens-shoes","2024-11-30 15:01:37"
"https://www.colehaan.com/mens-shoes","https://www.colehaan.com/mens-shoes","text/html;charset=UTF-8","200","OK","Indexable","","Men’s  Shoes, Boots, Sneakers & More: Free Shipping!","52","469","","0","0","Shop comfortable  shoes for men including comfortable oxfords, boots, sandals, loafers, sneakers, golf, dress shoes & more! Free Shipping & Returns!","148","920","","0","0","men’s shoes,sneakers,dress shoes,oxfords, shoes for men","55","Shoes For Men","13","","0","Category","8","Size","4","index,follow","","","","https://www.colehaan.com/mens-shoes","","","","","","","1190040","106269","788","249","3.165","100.000","Very Easy","1.141","0","0","","72","1","0","1.320","930","297","0","2","2","0","","","","","19f5c8bdfe269bdec6596ebc0b6b6c90","1.551","","","","","1.1","https://www.colehaan.com/mens-shoes","2024-11-30 15:01:40"
"https://bananarepublicfactory.gapfactory.com/browse/men/shoes?cid=1118436","https://bananarepublicfactory.gapfactory.com/browse/men/shoes?cid=1118436","text/html; charset=utf-8","200","OK","Indexable","","Men's Shoes | Banana Republic Factory","37","347","","0","0","Exhibit urbane sophistication wearing sleek men's dress shoes from Banana Republic Factory. Shop great deals in shoe styles for men for every fit and occasion.","159","994","","0","0","","0","Shoes","5","","0","Related Items","13","","0","","","","","https://bananarepublicfactory.gapfactory.com/browse/men/shoes?cid=1118436","","","","","","","583092","583092","118","24","4.917","88.567","Easy","0.105","0","2","","11","1","0","1.320","26","16","0","0","0","0","","","","","6018ae56ff9f22bbc90894b0eedd4a58","3.325","","","","","1.1","https://bananarepublicfactory.gapfactory.com/browse/men/shoes?cid=1118436","2024-11-30 15:01:26"
