Address,Content Type,Status Code,Indexability,Title 1,Title 1 Length,Title 1 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,H1-1,H1-1 Length,H1-2,H1-2 Length,Word Count,Sentence Count,Size (bytes),Transferred (bytes),Average Words Per Sentence,% of Total,Outlinks,Unique Outlinks,Unique JS Outlinks,External Outlinks,Unique External Outlinks,Unique External JS Outlinks,Response Time,H1-1 Length Length,H1-2 Length Length,Meta Description 1 Length Length,Meta Description 1 Pixel Width Length,Title 1 Length Length,Title 1 Pixel Width Length
https://www.brodyneuenschwander.com/,text/html; charset=UTF-8,200,Indexable,Brody Neuenschwander - Calligrapher and Text Artist,51,468,"Calligrapher and Text Artist. Paper, canvas, textiles, metal, glass, sculpture, light, architecture, film, performance, human skin. Brody Neuenschwander.",153,925,Shop,4,Greetings,9,418,69.0,84851,16564,6.058,1.25,31,23,0,9,6,0,1.325,1,1,3,3,2,3
https://www.montblanc.com/en-us/discover/campaign/virtual-events,text/html; charset=utf-8,200,Indexable,Discover - Virtual Events – Montblanc® US,41,377,Campaign,8,63,Sakura calligraphy pens,23,Subscribe to RSS,16,493,136.0,271093,35486,3.625,1.25,288,218,0,8,8,0,1.215,2,2,1,2,2,3
https://laurahooperdesignhouse.com/,text/html; charset=UTF-8,200,Indexable,Custom Wedding Stationery | Handwritten Calligraphy | Foxhill Garden • Laura Hooper Design House,96,879,"Welcome to Laura Hooper Design House (formerly known as Laura Hooper Calligraphy) known for timeless, classic wedding stationery created by seasoned hand lettering artist and educator Laura Hooper.",197,1266,Personalized wedding stationery design for every aspect of your celebration.,76,A Place for Artful Living & Timeless Design.,44,709,124.0,354571,39850,5.718,1.25,138,17,0,12,4,0,1.429,2,2,3,4,2,3
https://www.laquitatate.com/checkmeout/how-to-style-calligraphy-brushes,text/html;charset=utf-8,200,Indexable,How to style Calligraphy Brushes — Laquita Tate,47,425,"Literary Calligraphy paintings combine classic quotations from Shakespeare, Thoreau, Biblical sources, etc with illustrations that describe the text... Calligraphic art with quotes from authors, poets, playwrights, playwrites, bible, literature.",245,0,How to style Calligraphy Brushes,32,The Lo Chia-Lun Calligraphy Collection,38,433,65.0,103262,18940,6.662,1.25,27,12,0,6,3,0,2.053,2,2,3,1,2,3
https://jakerainis.com/blog/the-ultimate-blackletter-calligraphy-resource-guide/,text/html; charset=UTF-8,200,Indexable,The Ultimate Blackletter Calligraphy Resource Guide - Jake Rainis,65,575,Learn everything you need to know when it comes to shopping for supplies for Blackletter calligraphy and any other type of flat-pen calligraphy.,144,885,The Ultimate Blackletter Calligraphy Resource Guide,51,See why the Hyundai PALISADE is better than the Honda Pilot ⁠ Claim based on comparison of specifications on manufacturer websites.,131,6002,827.0,117374,30329,7.258,1.25,19,12,0,161,50,0,1.502,2,3,3,3,2,3
https://tex.stackexchange.com/questions/231322/how-to-get-the-lowercase-calligraphic-symbols,text/html; charset=utf-8,200,Indexable,calligraphy - How to get the lowercase calligraphic symbols? - TeX - LaTeX Stack Exchange,89,799,"If you're studying Chinese characters, then starting to learn Chinese calligraphy, or Shufa is a great way to improve your understanding of stroke rules and the make up",168,0,How to get the lowercase calligraphic symbols?,46,Subscribe to RSS,16,1193,251.0,166574,37623,4.753,1.25,136,98,0,30,26,0,0.464,2,2,3,1,2,3
https://www.ecletters.com/blog/2024/3/9/my-favorite-gold-markers-for-hand-lettering-and-calligraphy,text/html;charset=utf-8,200,Indexable,My Favorite Gold Markers for Hand Lettering and Calligraphy — ECLetters | Maryland Calligrapher,95,851,"Here are some gold markers that I really like to use for lettering and faux 
calligraphy projects. These are great for lettering on paper as well as 
unique materials like shells, pumpkins and more!",200,1175,Blog,4,My Favorite Gold Markers for Hand Lettering and Calligraphy,59,385,75.0,117273,22681,5.133,1.25,64,28,0,25,12,0,1.156,1,2,3,4,2,3
https://www.leemunroe.com/steve-jobs-calligraphy/,text/html; charset=UTF-8,200,Indexable,Steve Jobs on Taking a Calligraphy Class,40,363,"Spend your vacation in Japan and learn Japanese Calligraphy from Chikako. Chikako sensei, known by her artist name Kasho, was born into a family of calligraphers. She started training early and developed her own style that is delicate, bold and playful. She spent a year in Michigan teaching calligraphy and currently teaches calligraphy to students in various studios across Kyoto. Every year, she contributes her work to more than 10 calligraphy exhibitions across the country and serves as a judge for various calligraphy competitions in Japan. Her home studio is located in western part of Kyoto, close to mountains and thick Arashiyama Bamboo Groves. A bit shy, her dimpled warm smile can open a lot of hearts.",715,0,Steve Jobs on Taking a Calligraphy Class,40,Subscribe to RSS,16,273,44.0,5249,2363,6.205,1.25,8,8,0,3,3,0,0.953,2,2,3,1,2,3
https://www.travelingcalligrapher.com/,text/html; charset=UTF-8,200,Indexable,Calligraphy | Traveling Calligrapher | United States,52,439,"The Traveling Calligrapher Map Collection was born out of love, curiosity, and fearlessness with a focus on creating city maps that embrace memories from the past and also spark hope and adventure for the present/future.",220,1376,INSTAGRAM,9,MAPS OF YOUR MEMORIES,21,210,110.0,1499336,283512,1.909,1.25,57,33,0,3,3,0,0.957,1,2,3,4,2,3
https://uchida.com/collections/calligraphy-lettering,text/html; charset=utf-8,200,Indexable,Calligraphy & Lettering — Marvy Uchida,38,345,"Tom's calligraphy pens are loved by calligraphers across the world. A well balanced, hand crafted calligraphy pen to last a lifetime.",133,0,Calligraphy & Lettering,23,Lauren Jacks Calligraphy,24,2525,1038.0,1320023,128485,2.433,1.25,215,97,0,11,8,0,1.286,2,2,3,1,2,3
https://www.britannica.com/art/calligraphy,text/html;charset=UTF-8,200,Indexable,"Calligraphy | Art, Examples, & Alphabet | Britannica",52,444,"Calligraphy, the art of beautiful handwriting. The term may derive from the Greek words for “beauty” (kallos) and “to write” (graphein). It implies a sure knowledge of the correct form of letters—i.e., the conventional signs by which language can be communicated—and the skill to make them with such",299,1846,calligraphy,11,Lauren Jacks Calligraphy,24,1545,309.0,101936,23444,5.0,1.25,176,116,0,13,13,0,0.651,2,2,3,4,2,3
https://societyforcalligraphy.org/,text/html; charset=utf-8,200,Indexable,Society for Calligraphy - Home,30,266,"I use my lawyer brain to explain complicated intellectual property laws, so 
you can feel more at-ease in your calligraphy business",132,0,Society for Calligraphy,23,Greetings,9,333,70.0,29641,6343,4.757,1.25,45,30,0,5,5,0,1.461,2,1,3,1,2,3
https://jonesdesigncompany.com/create/how-to-create-fake-calligraphy/,text/html; charset=UTF-8,200,Indexable,how to create fake calligraphy (tutorial + practice worksheets),63,545,"Learn a simple technique for making your writing look fancy. This post will teach you how to create fake calligraphy for stationery, lettering, art and more",156,940,how to create fake calligraphy (tutorial + practice worksheets),63,"12, 50, 250 und 1000 ml (1000 ml only black 29770) 801, 802: 50 ml",66,5700,1213.0,255685,40150,4.699,1.25,264,25,0,66,49,0,1.384,2,2,3,3,2,3
https://www.calligraphykatrina.com/,text/html;charset=utf-8,200,Indexable,Calligraphy Katrina,19,167,"Calligraphy Katrina • Invitations, stationery, place cards, menus, 
envelopes, mirror seating charts, live activation, merchandise and much, 
much more. Serving Los Angeles, Pasadena, Beverly Hills, Orange County",214,1292,What are the Calligraphy “Basic Strokes”?,41,A Place for Artful Living & Timeless Design.,44,28,10.0,92653,18108,2.8,1.25,55,20,0,14,11,0,1.082,2,2,3,4,2,3
https://www.merriam-webster.com/dictionary/calligraphy,text/html; charset=utf-8,200,Indexable,Calligraphy Definition & Meaning - Merriam-Webster,50,456,"The meaning of CALLIGRAPHY is artistic, stylized, or elegant handwriting or lettering. How to use calligraphy in a sentence. Did you know?",138,855,calligraphy,11,Greetings,9,752,186.0,691641,110881,4.043,1.25,100,53,0,10,9,0,1.187,2,1,3,3,2,3
https://www.behr.com/consumer/ColorDetailView/N490-6,text/html;charset=UTF-8,200,Indexable,CALLIGRAPHY N490-6 | Behr Paint Colors,38,368,"CALLIGRAPHY is one of over 3,000 colors you can find, coordinate, and preview on www.behr.com. Start your project with CALLIGRAPHY now.  RGB: #59636A",149,977,CALLIGRAPHY,11,"Never miss out on the best Behr promotions, products and inspiration.",69,2921,766.0,376767,41789,3.813,1.25,285,117,0,24,13,0,2.203,2,2,3,3,2,3
https://umma.umich.edu/support/donate/donor-stories/the-lo-chia-lun-calligraphy-collection/,text/html; charset=UTF-8,200,Indexable,The Lo Chia-Lun Calligraphy Collection – University of Michigan Museum of Art,77,697,"Calligraphy Katrina • Invitations, stationery, place cards, menus, 
envelopes, mirror seating charts, live activation, merchandise and much, 
much more. Serving Los Angeles, Pasadena, Beverly Hills, Orange County",214,0,Calligraphy pen and watercolor brush are missing on my Freeform app,67,The Lo Chia-Lun Calligraphy Collection,38,1301,280.0,116941,22056,4.646,1.25,117,70,0,7,6,0,1.802,2,2,3,1,2,3
https://www.meanttobecalligraphy.com/workshop-reviews,text/html;charset=utf-8,200,Indexable,Workshop Reviews — Meant To Be Calligraphy,42,409,"Spend your vacation in Japan and learn Japanese Calligraphy from Chikako. Chikako sensei, known by her artist name Kasho, was born into a family of calligraphers. She started training early and developed her own style that is delicate, bold and playful. She spent a year in Michigan teaching calligraphy and currently teaches calligraphy to students in various studios across Kyoto. Every year, she contributes her work to more than 10 calligraphy exhibitions across the country and serves as a judge for various calligraphy competitions in Japan. Her home studio is located in western part of Kyoto, close to mountains and thick Arashiyama Bamboo Groves. A bit shy, her dimpled warm smile can open a lot of hearts.",715,0,what students are saying,24,Lauren Jacks Calligraphy,24,1118,205.0,88190,18965,5.454,0.0,89,34,0,9,5,0,1.339,2,2,3,1,2,3
https://www.bespokestrokes.com/about,text/html; charset=UTF-8,200,Indexable,ABOUT | Chantelle Hoffmann | Bespoke Strokes Calligraphy,56,523,"Professional calligrapher, Chantelle Hoffmann, shares her lettering journey, favorite calligraphy supplies, and recommended calligraphy learning resources. 

To date, Chantelle has guided thousands of students in their penmanship journey and helped them hone their love and skill in calligraphy. Since 2021 she has also been a featured calligraphy instructor for the luxury fountain pen brand, Montblanc.",404,2481,- ABOUT -,9,Greetings,9,688,99.0,998111,203030,6.949,1.25,14,10,0,20,20,0,0.998,1,1,3,4,2,3
https://thepostmansknock.com/how-i-learned-calligraphy/,text/html; charset=UTF-8,200,Indexable,How I Learned Calligraphy – The Postman's Knock,47,446,This blog post describes the story behind how I learned calligraphy. I hope it will be helpful to you in your own calligraphy experience!,137,823,How I Learned Calligraphy,25,The Lo Chia-Lun Calligraphy Collection,38,2771,463.0,448483,86326,5.985,1.25,177,89,0,29,21,0,3.126,2,2,3,3,2,3
https://calligrascape.com/learn-calligraphy/,text/html; charset=utf-8,200,Indexable,How to Learn Calligraphy: The Complete Beginner's Guide - Calligrascape,71,643,"Here you will find all you need to learn calligraphy. From blackletter to pointed pen, you will find videos and pictures to show you how, step by step.",151,907,How to Learn Calligraphy: The Complete Beginner’s Guide,55,Provide feedback,16,3574,616.0,244364,47589,5.802,1.25,196,48,0,21,19,0,1.209,2,2,3,3,2,3
https://www.calligraphr.com/en/,text/html; charset=utf-8,200,Indexable,Calligraphr - Draw your own fonts.,34,299,Transform your handwriting and calligraphy into fully functional vector fonts with our web application. Creating your own font has never been easier.,149,918,Transform your handwriting or calligraphy into a font!,54,See why the Hyundai PALISADE is better than the Honda Pilot ⁠ Claim based on comparison of specifications on manufacturer websites.,131,308,56.0,30132,6323,5.5,1.25,17,13,0,6,6,0,1.071,2,3,3,3,2,3
https://www.sanleandrohyundai.com/new-San+Leandro-2024-Hyundai-Santa+Fe-Calligraphy+AWD-5NMP5DGL9RH056751,text/html; charset=utf-8,200,Indexable,2024 Hyundai SANTA FE Calligraphy AWD San Leandro CA | San Leandro Hyundai 5NMP5DGL9RH056751,92,936,"Research the 2024 Hyundai SANTA FE Calligraphy AWD in San Leandro, CA at San Leandro Hyundai. View pictures, specs, and pricing on our huge selection of vehicles. 5NMP5DGL9RH056751",180,1190,David C. Roy,12,Provide feedback,16,3471,888.0,1057350,157266,3.909,1.25,328,117,0,15,10,0,1.99,2,2,3,4,2,3
https://www.jherbin.com/calligraphy_inks.html,text/html,200,Indexable,"Herbin Calligraphy & Specialty Inks | Fine Writing Ink, Calligraphy Pens, and Sealing Wax | Pen Ink Cartridges, Reed and Bamboo Pens",132,1166,Herbin - the oldest name in pen inks in the world.  Founded in Paris in 1670.,77,465,Calligraphy & Specialty Inks,28,The Lo Chia-Lun Calligraphy Collection,38,505,113.0,25142,5668,4.469,1.25,36,18,0,12,8,0,4.178,2,2,2,3,3,4
https://www.hollywoodreporter.com/business/digital/steve-jobs-death-apple-calligraphy-248900/,text/html; charset=UTF-8,200,Indexable,How a Calligraphy Pen Rewrote Steve Jobs’ Life,46,421,Steve Jobs' ex-Trappist monk calligraphy teacher put him on the spiritual path to changing the world.,101,625,How a Calligraphy Pen Rewrote Steve Jobs’ Life,46,Provide feedback,16,1949,322.0,565966,99896,6.053,1.25,187,105,0,86,59,0,0.979,2,2,3,3,2,3
https://piecescalligraphy.com/,text/html; charset=UTF-8,200,Indexable,Pieces Calligraphy – Learn brush calligraphy online,51,450,"Are you ready to learn brush calligraphy? You’re in the right place! Here you’ll find easy-to-follow, bite-sized steps to go from complete beginner to confident calligrapher. If you're ready to start your journey towards beautiful, peaceful calligraphy, click the button below to join the waitlist. You'll be notified as soon as the course opens again…",352,2096,Are you ready to learn brush calligraphy?,41,Greetings,9,400,73.0,94692,24101,5.479,1.25,26,7,0,15,14,0,0.635,2,1,3,4,2,3
https://shop.ria.ie/en-us/products/the-irish-art-of-calligraphy,text/html; charset=utf-8,200,Indexable,"The Irish art of calligraphy: a step-by-step guide
 – Royal Irish Academy",73,617,"Out now! An essential guide for anyone who has ever wanted to try their hand at calligraphy. Delve into Ireland’s artistic past and, with guidance from a master calligrapher, learn how to write your own letters in a matter of hours. View a sneak preview here:  ",261,1571,The Irish art of calligraphy: a step-by-step guide,50,See why the Hyundai PALISADE is better than the Honda Pilot ⁠ Claim based on comparison of specifications on manufacturer websites.,131,1633,379.0,769129,68969,4.309,1.25,551,34,0,10,6,0,0.563,2,3,3,4,2,3
https://crossroadscalligraphy.com/what-i-wish-id-known-when-starting-calligraphy/,text/html; charset=UTF-8,200,Indexable,What I Wish I'd Known When Starting Calligraphy - Crossroads Calligraphy,72,650,I share what I wish I'd known when getting started in order to support you and the success of your calligraphy practice.,120,736,Crossroads Calligraphy,22,Lauren Jacks Calligraphy,24,1818,273.0,122710,33416,6.659,1.25,81,67,0,9,8,0,1.846,2,2,3,3,2,3
https://www.thehappyevercrafter.com/blog/calligraphy-basic-strokes/,text/html; charset=UTF-8,200,Indexable,"What are the Calligraphy ""Basic Strokes""? - The Happy Ever Crafter Inc.",71,621,Steve Jobs' ex-Trappist monk calligraphy teacher put him on the spiritual path to changing the world.,101,0,What are the Calligraphy “Basic Strokes”?,41,Provide feedback,16,675,149.0,168662,34436,4.53,1.25,46,21,0,44,21,0,1.308,2,2,3,1,2,3
https://www.hyundaiusa.com/us/en/vehicles/palisade/calligraphy,text/html;charset=utf-8,200,Indexable,2025 Hyundai Palisade Calligraphy | Trim Info | Hyundai USA,59,529,"Click here to view all available trim features for the 2025 Hyundai Palisade Calligraphy. View starting MSRP, tech specs, and more here at Hyundai USA!",151,931,Calligraphy,11,See why the Hyundai PALISADE is better than the Honda Pilot ⁠ Claim based on comparison of specifications on manufacturer websites.,131,38957,8860.0,9214408,530507,4.397,1.25,138,69,0,20,20,0,0.826,2,3,3,3,2,3
https://alpha.inkscape.org/vectors/www.inkscapeforum.com/viewtopic3350.html?t=785,text/html,200,Indexable,[solved] overlapping calligraphy line issue - InkscapeForum.com,63,563,"Out now! An essential guide for anyone who has ever wanted to try their hand at calligraphy. Delve into Ireland’s artistic past and, with guidance from a master calligrapher, learn how to write your own letters in a matter of hours. View a sneak preview here:  ",261,0,This is a read-only archive of the inkscapeforum.com site. You can search for info here or post new questions and comments at inkscape.org/forums,145,InkscapeForum.com,17,422,115.0,23324,6055,3.67,1.25,66,38,0,7,2,0,0.963,3,2,3,1,2,3
https://www.inkyfingerscalligraphy.com/,text/html;charset=utf-8,200,Indexable,Inky Fingers Calligraphy FL,27,237,"Research the 2025 Hyundai SANTA FE Calligraphy FWD in Cumming, GA at Hyundai of Cumming. View pictures, specs, and pricing & schedule a test drive today.",153,0,Hello there!,12,See why the Hyundai PALISADE is better than the Honda Pilot ⁠ Claim based on comparison of specifications on manufacturer websites.,131,210,32.0,144690,20669,6.562,1.25,32,10,0,9,3,0,1.136,2,3,3,1,2,3
https://calligraphybycarole.com/,text/html; charset=UTF-8,200,Indexable,Calligraphy By Carole | Wedding Calligraphy,43,383,"Calligraphy by Carole | Calligraphy by Carole offers elegant calligraphy for special occasions, weddings, printed goods, custom signage, and more!",146,900,Home,4,The Lo Chia-Lun Calligraphy Collection,38,249,34.0,53859,14421,7.324,1.25,8,6,0,8,7,0,2.088,1,2,3,3,2,3
http://www.whimsydesignstudio.com/blog/calligraphy-vs-hand-lettering/,text/html; charset=UTF-8,200,Indexable,"Calligraphy vs Hand Lettering, Typography & more! - Whimsy Design Studio",72,659,"The Traveling Calligrapher Map Collection was born out of love, curiosity, and fearlessness with a focus on creating city maps that embrace memories from the past and also spark hope and adventure for the present/future.",220,0,"Calligraphy vs Hand Lettering, Typography & more!",49,My Favorite Gold Markers for Hand Lettering and Calligraphy,59,773,109.0,75285,15559,7.092,1.25,40,29,0,9,9,0,1.172,2,2,3,1,2,3
https://www.printmag.com/design-books/margaret-shepherd-learning-american-calligraphy/,text/html; charset=UTF-8,200,Indexable,Professional Calligrapher Margaret Shepherd Won't Let Calligraphy Die – PRINT Magazine,86,792,"With over 55 years as a professional calligrapher and 20 how-to book titles to her name, Margaret Shepherd is keen on keeping calligraphy alive and well.",153,943,Professional Calligrapher Margaret Shepherd Won’t Let Calligraphy Die,69,My Favorite Gold Markers for Hand Lettering and Calligraphy,59,1155,152.0,110289,29241,7.599,1.25,80,53,0,17,12,0,1.463,2,2,3,3,2,3
https://www.literarycalligraphy.com/,text/html,200,Indexable,"Literary Calligraphy by Susan Loy ~ Calligraphic Art Paintings with Quotations from Authors, Poets, Playwrights, Bible, Literature",130,1123,"Literary Calligraphy paintings combine classic quotations from Shakespeare, Thoreau, Biblical sources, etc with illustrations that describe the text... Calligraphic art with quotes from authors, poets, playwrights, playwrites, bible, literature.",245,1459,Crossroads Calligraphy,22,Subscribe to RSS,16,333,55.0,17791,5585,6.055,1.25,14,7,0,20,10,0,1.124,2,2,3,4,3,4
